stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 255: non-zeros: 81135024; slack: 20%; density: 0.00118067
gate 256: non-zeros: 108213712; slack: 47%; density: 0.00157472
gate 257: non-zeros: 108205080; slack: 61%; density: 0.00157459
gate 258: non-zeros: 216410160; slack: 20%; density: 0.00314918
gate 259: non-zeros: 383072448; slack: 30%; density: 0.00557444
gate 260: non-zeros: 383029440; slack: 61%; density: 0.00557381
gate 261: non-zeros: 383029440; slack: 60%; density: 0.00557381
gate 262: non-zeros: 382971808; slack: 61%; density: 0.00557297
gate 263: non-zeros: 382971808; slack: 60%; density: 0.00557297
gate 264: non-zeros: 382971808; slack: 60%; density: 0.00557297
gate 265: non-zeros: 382882400; slack: 61%; density: 0.00557167
gate 266: non-zeros: 382759856; slack: 61%; density: 0.00556989
gate 267: non-zeros: 382759856; slack: 60%; density: 0.00556989
gate 268: non-zeros: 382600160; slack: 61%; density: 0.00556757
gate 269: non-zeros: 382600160; slack: 60%; density: 0.00556757
gate 270: non-zeros: 382405024; slack: 61%; density: 0.00556473
gate 271: non-zeros: 515968992; slack: 47%; density: 0.00750834
gate 272: non-zeros: 515968992; slack: 60%; density: 0.00750834
gate 273: non-zeros: 515968992; slack: 60%; density: 0.00750834
gate 274: non-zeros: 687862304; slack: 47%; density: 0.01000971
gate 275: non-zeros: 687123664; slack: 61%; density: 0.00999897
gate 276: non-zeros: 687123664; slack: 60%; density: 0.00999897
gate 277: non-zeros: 687588144; slack: 60%; density: 0.01000572
gate 278: non-zeros: 826315296; slack: 52%; density: 0.01202447
gate 279: non-zeros: 825502768; slack: 61%; density: 0.01201265
gate 280: non-zeros: 824550224; slack: 61%; density: 0.01199878
gate 281: non-zeros: 824550224; slack: 60%; density: 0.01199878
gate 282: non-zeros: 823291648; slack: 61%; density: 0.01198047
gate 283: non-zeros: 1101681760; slack: 47%; density: 0.01603158
gate 284: non-zeros: 1100759488; slack: 61%; density: 0.01601816
gate 285: non-zeros: 1099582016; slack: 61%; density: 0.01600102
gate 286: non-zeros: 1099582016; slack: 60%; density: 0.01600102
gate 287: non-zeros: 824723640; slack: 70%; density: 0.01200131
gate 288: non-zeros: 631790544; slack: 70%; density: 0.00919376
gate 289: non-zeros: 526111276; slack: 67%; density: 0.00765593
gate 290: non-zeros: 395032464; slack: 70%; density: 0.00574848
gate 291: non-zeros: 345698848; slack: 65%; density: 0.00503058
gate 292: non-zeros: 345698848; slack: 60%; density: 0.00503058
gate 293: non-zeros: 345698848; slack: 60%; density: 0.00503058
gate 294: non-zeros: 309889338; slack: 65%; density: 0.00450948
gate 295: non-zeros: 268595862; slack: 66%; density: 0.00390858
gate 296: non-zeros: 190437526; slack: 72%; density: 0.00277123
gate 297: non-zeros: 142890216; slack: 70%; density: 0.00207933
gate 298: non-zeros: 107213832; slack: 70%; density: 0.00156017
gate 299: non-zeros: 87292646; slack: 68%; density: 0.00127028
gate 300: non-zeros: 87291294; slack: 61%; density: 0.00127026
gate 301: non-zeros: 87291294; slack: 60%; density: 0.00127026
gate 302: non-zeros: 87291294; slack: 60%; density: 0.00127026
gate 303: non-zeros: 87285758; slack: 61%; density: 0.00127017
gate 304: non-zeros: 123616056; slack: 44%; density: 0.00179885
gate 305: non-zeros: 123590880; slack: 61%; density: 0.00179848
gate 306: non-zeros: 123552236; slack: 61%; density: 0.00179792
gate 307: non-zeros: 123552236; slack: 60%; density: 0.00179792
gate 308: non-zeros: 123495354; slack: 61%; density: 0.00179709
gate 309: non-zeros: 123411780; slack: 61%; density: 0.00179588
gate 310: non-zeros: 123411780; slack: 60%; density: 0.00179588
gate 311: non-zeros: 123289756; slack: 61%; density: 0.00179410
gate 312: non-zeros: 122705912; slack: 61%; density: 0.00178561
gate 313: non-zeros: 122297654; slack: 61%; density: 0.00177967
gate 314: non-zeros: 163990096; slack: 47%; density: 0.00238637
gate 315: non-zeros: 163990096; slack: 60%; density: 0.00238637
gate 316: non-zeros: 202935466; slack: 51%; density: 0.00295310
gate 317: non-zeros: 202445530; slack: 61%; density: 0.00294597
gate 318: non-zeros: 404891060; slack: 20%; density: 0.00589194
gate 319: non-zeros: 403624984; slack: 61%; density: 0.00587352
gate 320: non-zeros: 403624984; slack: 60%; density: 0.00587352
gate 321: non-zeros: 402033736; slack: 61%; density: 0.00585036
gate 322: non-zeros: 543414688; slack: 46%; density: 0.00790772
gate 323: non-zeros: 651158256; slack: 53%; density: 0.00947560
gate 324: non-zeros: 651158256; slack: 60%; density: 0.00947560
gate 325: non-zeros: 869713736; slack: 47%; density: 0.01265600
gate 326: non-zeros: 1338352204; slack: 39%; density: 0.01947559
gate 327: non-zeros: 1334448904; slack: 61%; density: 0.01941879
gate 328: non-zeros: 1330265080; slack: 61%; density: 0.01935790
gate 329: non-zeros: 1779905364; slack: 47%; density: 0.02590103
gate 330: non-zeros: 1776873996; slack: 61%; density: 0.02585692
gate 331: non-zeros: 1765877716; slack: 61%; density: 0.02569690
gate 332: non-zeros: 1765877716; slack: 60%; density: 0.02569690
gate 333: non-zeros: 1755146768; slack: 61%; density: 0.02554075
gate 334: non-zeros: 1755146768; slack: 60%; density: 0.02554075
